0B,BBL
0V,VFC
1A,AGT
1F,TTF
1I,EJA
1P,WSP
1Z,APD
2A,DBB
2B,AWT
2D,EAL
2E,EIX
2F,FAV
2I,SRU
2J,VBW
2K,GLG
2L,OAW
2M,MYD
2N,NTJ
2O,RNE
2P,GAP
2Q,SNC
2R,VRR
2T,BMA
2U,ERO
2W,WFL
2Z,PTB
3B,JBR
3C,CVA
3E,OMQ
3G,CXM
3H,AIE
3I,LFM
3J,JBW
3K,JSA
3L,ADY
3M,GFT
3N,URG
3O,MAC
3P,WPT
3R,DVR
3T,TRQ
3U,CSC
3V,TAY
3W,MWI
3Z,TVP
4A,AMP
4B,BTQ
4C,ARE
4D,ASD
4E,TNR
4F,FDT
4G,GZP
4K,SMK
4M,DSM
4O,MNE
4Q,SFW
4R,SEK
4S,STB
4U,GWI
4W,VNA
4X,ANX
4Y,OCN
4Z,LNK
5B,BSX
5C,ICL
5D,SLI
5E,BLK
5F,FIA
5G,SHS
5H,FFV
5J,CEB
5K,HFY
5M,MNT
5N,AUL
5O,FPO
5P,PCP
5R,RUC
5S,PSV
5T,MPE
5U,TGU
5W,WAZ
5X,UPS
5Y,GTI
5Z,KEM
6A,AMW
6B,BLX
6D,TVQ
6E,IGO
6F,PRW
6G,RLX
6H,ISR
6I,MMD
6K,SGB
6L,AKK
6N,NIN
6O,OBS
6Q,SAW
6R,DRU
6S,SGQ
6Y,ART
7A,XRC
7C,JJA
7E,AWU
7F,FAB
7G,SFJ
7H,RVF
7I,INC
7J,TJK
7L,CRN
7M,MYI
7N,PWD
7O,TVL
7P,PST
7R,RLU
7S,RYA
7W,WRC
7Y,MYP
8B,TNU
8C,ATN
8D,EXV
8E,BRG
8F,STP
8G,MFG
8H,BGH
8I,NLU
8J,ECO
8L,LKE
8M,MMA
8N,REG
8P,PCO
8Q,OHY
8R,AIA
8T,TID
8U,AAW
8V,ACP
8W,EDR
8Y,AAV
8Z,CGA
9C,CQH
9D,NMG
9E,EDV
9H,CGN
9I,LLR
9J,DAN
9K,KAP
9L,WLN
9M,GLR
9N,TOS
9P,JAD
9Q,CXE
9R,NSE
9S,SOO
9T,RUN
9U,MLD
9V,ROI
9W,JAI
9X,FDY
